Results for:	
File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US05745306-3.zmx
Title:	
Date:	11/7/2025 5:47:21 PM

0 message(s) in output.
3 series table(s) in output.

Table series: Data for wavelength : 0.486133 µm.
        Y Height       Tan Shift       Sag Shift     Real Height     Ref. Height      Distortion
       8.1900000  9.5393718E-003     0.032759716       8.1951170       8.1877731     0.089693793
       8.4000000  7.9434657E-003     0.032234700       8.4056395       8.3977160     0.094353299
       8.6100000  6.3246772E-003     0.031699990       8.6161918       8.6076589     0.099130874
       8.8200000  4.6842790E-003     0.031155848       8.8267745       8.8176018      0.10402653
       9.0300000  3.0235653E-003     0.030602543       9.0373884       9.0275447      0.10904027
       9.2400000  1.3438575E-003     0.030040349       9.2480343       9.2374876      0.11417212
       9.4500000 -3.5349993E-004     0.029469545       9.4587128       9.4474305      0.11942209
       9.6600000 -2.0671391E-003     0.028890417       9.6694249       9.6573734      0.12479018
       9.8700000 -3.7956720E-003     0.028303254       9.8801711       9.8673163      0.13027642
       10.080000 -5.5376874E-003     0.027708351       10.090952       10.077259      0.13588081
       10.290000 -7.2917527E-003     0.027106009       10.301769       10.287202      0.14160338
       10.500000 -9.0564163E-003     0.026496533       10.512622       10.497145      0.14744415
       10.710000    -0.010830207     0.025880233       10.723513       10.707088      0.15340312
       10.920000    -0.012611634     0.025257425       10.934441       10.917031      0.15948032
       11.130000    -0.014399189     0.024628427       11.145408       11.126974      0.16567577
       11.340000    -0.016191347     0.023993564       11.356415       11.336917      0.17198950
       11.550000    -0.017986566     0.023353166       11.567462       11.546860      0.17842151
       11.760000    -0.019783288     0.022707565       11.778549       11.756802      0.18497183
       11.970000    -0.021579943     0.022057098       11.989678       11.966745      0.19164050
       12.180000    -0.023374947     0.021402109       12.200850       12.176688      0.19842753
       12.390000    -0.025166701     0.020742941       12.412065       12.386631      0.20533295
       12.600000    -0.026953599     0.020079945       12.623324       12.596574      0.21235679
       12.810000    -0.028734019     0.019413474       12.834627       12.806517      0.21949908
       13.020000    -0.030506337     0.018743885       13.045976       13.016460      0.22675985
       13.230000    -0.032268914     0.018071539       13.257371       13.226403      0.23413913
       13.440000    -0.034020107     0.017396799       13.468813       13.436346      0.24163696
       13.650000    -0.035758271     0.016720031       13.680302       13.646289      0.24925337
       13.860000    -0.037481748     0.016041607       13.891840       13.856231      0.25698840
       14.070000    -0.039188888     0.015361898       14.103427       14.066174      0.26484208
       14.280000    -0.040878032     0.014681281       14.315065       14.276117      0.27281447
       14.490000    -0.042547521     0.014000133       14.526752       14.486060      0.28090560
       14.700000    -0.044195699     0.013318835       14.738491       14.696003      0.28911551
       14.910000    -0.045820919     0.012637768       14.950283       14.905946      0.29744426
       15.120000    -0.047421525     0.011957318       15.162127       15.115889      0.30589189
       15.330000    -0.048995882     0.011277871       15.374025       15.325832      0.31445845
       15.540000    -0.050542351     0.010599814       15.585978       15.535775      0.32314400
       15.750000    -0.052059311  9.9235365E-003       15.797985       15.745718      0.33194860
       15.960000    -0.053545146  9.2494286E-003       16.010049       15.955660      0.34087229
       16.170000    -0.054998262  8.5778814E-003       16.222169       16.165603      0.34991515
       16.380000    -0.056417074  7.9092865E-003       16.434347       16.375546      0.35907723
       16.590000    -0.057800016  7.2440362E-003       16.646583       16.585489      0.36835861
       16.800000    -0.059145544  6.5825227E-003       16.858878       16.795432      0.37775934
       17.010000    -0.060452132  5.9251382E-003       17.071233       17.005375      0.38727950
       17.220000    -0.061718281  5.2722745E-003       17.283649       17.215318      0.39691918
       17.430000    -0.062942521  4.6243229E-003       17.496126       17.425261      0.40667843
       17.640000    -0.064123409  3.9816735E-003       17.708664       17.635204      0.41655736
       17.850000    -0.065259530  3.3447156E-003       17.921266       17.845147      0.42655603
       18.060000    -0.066349512  2.7138365E-003       18.133931       18.055089      0.43667454
       18.270000    -0.067392015  2.0894221E-003       18.346661       18.265032      0.44691299
       18.480000    -0.068385738  1.4718557E-003       18.559456       18.474975      0.45727146
       18.690000    -0.069329428  8.6151859E-004       18.772317       18.684918      0.46775005
       18.900000    -0.070221873  2.5878883E-004       18.985244       18.894861      0.47834888
