Results for:	
File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\FR1233449_Example01P.zmx
Title:	FR 1.233.449 Example 1 (Leica Summilux 35mm F1.4)
Date:	11/7/2025 5:23:03 PM

0 message(s) in output.
3 series table(s) in output.

Table series: Data for wavelength : 0.486133 µm.
   Y Angle (deg)       Tan Shift       Sag Shift     Real Height     Ref. Height      Distortion
       27.384685     -0.23927125     -0.11988735       18.248108       18.206795      0.22691218
       27.699452     -0.23700913    -0.099259779       18.496395       18.452399      0.23842953
       28.014218     -0.23389106    -0.076842915       18.746277       18.699425      0.25055325
       28.328985     -0.22982535    -0.052534002       18.997793       18.947898      0.26332357
       28.643751     -0.22471293    -0.026224804       19.250985       19.197848      0.27678493
       28.958518     -0.21844722  2.1986040E-003       19.505897       19.449302      0.29098659
       29.273284     -0.21091433     0.032855996       19.762576       19.702290      0.30598341
       29.588051     -0.20199348     0.065873122       20.021069       19.956841      0.32183684
       29.902817     -0.19155793      0.10138176       20.281429       20.212985      0.33861600
       30.217584     -0.17947642      0.13951965       20.543710       20.470752      0.35639909
       30.532350     -0.16561548      0.18043036       20.807970       20.730175      0.37527501
       30.847117     -0.14984284      0.22426289       21.074272       20.991284      0.39534537
       31.161883     -0.13203230      0.27117107       21.342684       21.254112      0.41672690
       31.476650     -0.11207068      0.32131265       21.613279       21.518692      0.43955444

Table series: Data for wavelength : 0.587562 µm.
   Y Angle (deg)       Tan Shift       Sag Shift     Real Height     Ref. Height      Distortion
  --------------  --------------  --------------  --------------  --------------  --------------
      0.00000000    -0.025094363    -0.025094363      0.00000000      0.00000000      0.00000000
      0.31476650    -0.025129778    -0.025195497      0.19318876      0.19318875  5.5412851E-006
      0.62953299    -0.025241433    -0.025498804      0.38638924      0.38638916  2.2216055E-005
      0.94429949    -0.025429297    -0.026004004      0.57961318      0.57961289  5.0060828E-005
       1.2590660    -0.025693313    -0.026710629      0.77287232      0.77287163  8.9155946E-005
