Material,count
"1.70,34.7",1
"1.70,53.2",1
"1.82,45.2",1
"1.84,30.0",1
"1.51,59.8",1
"1.53,46.0",1
"1.59,35.8",1
"1.51,61.9",1
"1.69,0.0",1
"1.56,58.3",1
"1.61,55.1",1
"1.56,45.3",1
"1.61,56.3",1
"1.52,63.6",1
"1.71,40.9",1
"1.70,38.4",1
"1.51,60.6",1
"1.57,41.3",1
"1.66,57.7",1
"1.69,54.1",1
"1.69,54.0",1
"1.73,28.0",1
"1.51,56.5",1
"1.65,58.4",1
"1.64,58.1",1
"1.70,54.7",1
"1.66,57.1",1
"1.59,34.3",1
MC-TAFD305,1
N-BK7_MOLD,1
LAK33,1
Q-LAK52S,1
N-K5,1
LAK23,1
N-SF57HT,1
SF64A,1
"1.50,66.7",1
"1.57,57.5",1
"1.62,53.3",1
"1.72,29.3",1
J-SF8,1
K-LAK8,1
J-BAK4,1
S-NBH53,1
L-LAH90,1
M-LAC130,1
"-1.42,0.0",1
H-LAF50B,1
J-PSK03,1
D-LAK6,1
D-LAK6M,1
BK7HT,1
"1.55,37.6",1
SF57HT,1
CD120,1
"1.58,64.2",1
"1.73,54.0",1
N-PK52A,1
K-LASFN1,1
K-LAF2,1
N-LASF40,1
"1.59,62.1",1
E-LASF021,1
E-LAK7,1
"1.55,71.5",1
"1.61,44.4",1
"1.85,40.0",1
"1.55,71.7",1
S-LAM7,1
S-LAH79,1
"1.80,34.9",1
"1.92,23.9",1
"1.76,52.3",1
"1.00,64.2",1
"1.71,29.5",1
"1.85,42.7",1
"1.48,70.4",1
"1.75,28.3",1
"1.85,22.7",1
"1.49,81.6",1
J-SFH1,1
S-LAM51,1
J-LASF010,1
H-LAK51,1
H-ZF72,1
"1.83,44.7",1
"1.90,29.3",1
"1.51,61.1",1
"1.70,17.7",1
"1.64,22.7",1
"1.76,16.1",1
SF19,1
E65-40,1
N-LAK7,1
SK12,1
LAKN12,1
E-BASF2,1
NBF1,1
BASF54,1
J-BK7,1
"1.55,42.7",1
E-LASFH15,1
"1.76,15.0",1
K-GFK68,1
H-LAF3,1
L-TIM28_MOLD,1
L-TIH53,1
