File Name,Tan Shift,Sag Shift,Long_0.4861,Long_0.5876,Long_0.6563,Poly,RMS_0.4861,RMS_0.5876,RMS_0.6563,Rel. Ill,Effective F/#
JP1963-002613_Example01_Tale12_LensData_21.6_3.5_28,-0.099903753,-0.099903753,-0.099916553,-0.0018584382,0.070841375,0.85366772,1.1584534,0.78214296,0.48216586,1.0,3.6612806
JP1963-026133_Example01_Tale12_LensData_21.6_3.5_28,-0.099903753,-0.099903753,-0.099916553,-0.0018584382,0.070841375,0.85366772,1.1584534,0.78214296,0.48216586,1.0,3.6612806
JP1973-071634_Example02P_LensData_21.6_5.6_15,0.45706478,0.45706478,0.45706176,0.45933783,0.49755809,0.79014126,0.90775427,0.73237381,0.71594721,1.0,5.8160607
JP1976-023175_Example02P_LensData_21.6_5.6_15,0.45706478,0.45706478,0.45706176,0.45933783,0.49755809,0.79014126,0.90775427,0.73237381,0.71594721,1.0,5.8160607
JP1976-026535_Example01P_LensData_21.6_1.8_28,0.28491313,0.28491313,0.28490438,0.39262797,0.46821551,,,,,1.0,2.1095473
JP1976-062037_Example01P_LensData_21.6_2.8_135,-0.17108905,-0.17108905,-0.17109559,0.001124955,0.17141238,0.99737316,1.5583897,0.61266325,0.42464701,1.0,2.9326447
JP1978-087728_Example01P_LensData_35_4_80,-0.052239699,-0.052239699,-0.052246794,-0.001893556,0.077014298,0.30973215,0.45314491,0.28674636,0.015434295,1.0,4.2026519
JP1979-030821_Example01P_LensData_21.6_1.8_40,-0.059495975,-0.059495975,-0.059509008,-0.012035492,0.036114677,1.5867797,1.9620023,1.6592485,0.97521816,1.0,1.8818276
JP1979-055423_Example01P_LensData_21.6_3.5_135,-0.10756592,-0.10756592,-0.10757803,0.021752678,0.19832036,0.61546438,0.90318207,0.54163087,0.16518887,1.0,3.6640681
JP1979-055424_Example01P_LensData_21.6_4_200,-0.171842,-0.171842,-0.17185001,0.0042782231,0.25101452,0.7415416,1.0016148,0.11998579,0.79499872,1.0,4.1819213
JP1979-107336_Example01P_LensData_35_2.8_55,-0.022253016,-0.022253016,-0.022266627,0.0043850997,0.071805949,,,,,1.0,2.9353569
JP1980-017129_Example01P_LensData_21.6_2.8_21,-0.090703354,-0.090703354,-0.090713909,-0.0027799034,0.060757076,0.92530664,1.2902947,0.83977184,0.44553342,1.0,2.9210386
JP1980-028038_Example01_Tale26_LensData_21.6_2.8_55,-0.10413983,-0.10413983,-0.10414223,-0.034788794,0.031872264,1.0472703,1.4456631,0.96641431,0.51616522,1.0,2.9356128
JP1980-087117_Example01P_LensData_21.6_2.8_24,-0.10244764,-0.10244764,-0.10246159,-0.027367373,0.032215311,1.2437272,1.6836611,1.1477646,0.69892338,1.0,2.9177904
JP1981-035116_Example01P_LensData_21.6_5.6_600,-0.82434155,-0.82434155,-0.82434471,-1.0014621,-0.27633235,2.0724389,2.4773463,2.428811,0.92121734,1.0,5.8947315
