Y Height,Tan Shift,Sag Shift,Real Height,Ref. Height,Distortion,Wavelength
5.4600000,0.068397693,0.098500589,5.4611432,5.4553188,0.10676600,0.587562 µm.
5.4600000,0.068397693,0.098500589,5.4611432,5.4553188,0.10676600,0.587562 µm.
5.6700000,0.064899884,0.097187911,5.6716600,5.6651387,0.11511146,0.587562 µm.
5.6700000,0.064899884,0.097187911,5.6716600,5.6651387,0.11511146,0.587562 µm.
5.8800000,0.061309551,0.095838108,5.8822300,5.8749587,0.12376781,0.587562 µm.
5.8800000,0.061309551,0.095838108,5.8822300,5.8749587,0.12376781,0.587562 µm.
6.0900000,0.057631205,0.094452596,6.0928552,6.0847786,0.13273456,0.587562 µm.
6.0900000,0.057631205,0.094452596,6.0928552,6.0847786,0.13273456,0.587562 µm.
6.3000000,0.053869544,0.093032849,6.3035376,6.2945986,0.14201120,0.587562 µm.
6.3000000,0.053869544,0.093032849,6.3035376,6.2945986,0.14201120,0.587562 µm.
6.5100000,0.050029460,0.091580401,6.5142791,6.5044185,0.15159719,0.587562 µm.
6.5100000,0.050029460,0.091580401,6.5142791,6.5044185,0.15159719,0.587562 µm.
6.7200000,0.046116037,0.090096845,6.7250815,6.7142385,0.16149197,0.587562 µm.
6.7200000,0.046116037,0.090096845,6.7250815,6.7142385,0.16149197,0.587562 µm.
6.9300000,0.042134561,0.088583836,6.9359467,6.9240585,0.17169496,0.587562 µm.
6.9300000,0.042134561,0.088583836,6.9359467,6.9240585,0.17169496,0.587562 µm.
7.1400000,0.038090516,0.087043090,7.1468767,7.1338784,0.18220554,0.587562 µm.
7.1400000,0.038090516,0.087043090,7.1468767,7.1338784,0.18220554,0.587562 µm.
7.3500000,0.033989591,0.085476385,7.3578734,7.3436984,0.19302307,0.587562 µm.
7.3500000,0.033989591,0.085476385,7.3578734,7.3436984,0.19302307,0.587562 µm.
7.5600000,0.029837684,0.083885564,7.5689386,7.5535183,0.20414686,0.587562 µm.
7.5600000,0.029837684,0.083885564,7.5689386,7.5535183,0.20414686,0.587562 µm.
7.7700000,0.025640904,0.082272533,7.7800742,7.7633383,0.21557622,0.587562 µm.
7.7700000,0.025640904,0.082272533,7.7800742,7.7633383,0.21557622,0.587562 µm.
7.9800000,0.021405575,0.080639267,7.9912820,7.9731582,0.22731041,0.587562 µm.
7.9800000,0.021405575,0.080639267,7.9912820,7.9731582,0.22731041,0.587562 µm.
8.1900000,0.017138242,0.078987803,8.2025640,8.1829782,0.23934866,0.587562 µm.
8.1900000,0.017138242,0.078987803,8.2025640,8.1829782,0.23934866,0.587562 µm.
8.4000000,0.012845673,0.077320249,8.4139220,8.3927981,0.25169017,0.587562 µm.
8.4000000,0.012845673,0.077320249,8.4139220,8.3927981,0.25169017,0.587562 µm.
8.6100000,8.5348639E-003,0.075638783,8.6253577,8.6026181,0.26433409,0.587562 µm.
8.6100000,8.5348639E-003,0.075638783,8.6253577,8.6026181,0.26433409,0.587562 µm.
8.8200000,4.2130418E-003,0.073945650,8.8368731,8.8124380,0.27727955,0.587562 µm.
8.8200000,4.2130418E-003,0.073945650,8.8368731,8.8124380,0.27727955,0.587562 µm.
9.0300000,-1.1232818E-004,0.072243169,9.0484700,9.0222580,0.29052565,0.587562 µm.
9.0300000,-1.1232818E-004,0.072243169,9.0484700,9.0222580,0.29052565,0.587562 µm.
9.2400000,-4.4335386E-003,0.070533732,9.2601500,9.2320779,0.30407142,0.587562 µm.
9.2400000,-4.4335386E-003,0.070533732,9.2601500,9.2320779,0.30407142,0.587562 µm.
9.4500000,-8.7426368E-003,0.068819803,9.4719152,9.4418979,0.31791588,0.587562 µm.
9.4500000,-8.7426368E-003,0.068819803,9.4719152,9.4418979,0.31791588,0.587562 µm.
9.6600000,-0.013031417,0.067103925,9.6837671,9.6517178,0.33205799,0.587562 µm.
9.6600000,-0.013031417,0.067103925,9.6837671,9.6517178,0.33205799,0.587562 µm.
9.8700000,-0.017291417,0.065388716,9.8957077,9.8615378,0.34649667,0.587562 µm.
9.8700000,-0.017291417,0.065388716,9.8957077,9.8615378,0.34649667,0.587562 µm.
10.080000,-0.021513911,0.063676872,10.107739,10.071358,0.36123081,0.587562 µm.
