Y Angle (deg),Tan Shift,Sag Shift,Real Cosine,Ref. Cosine,Distortion,Wavelength
3.4651314,-6.9166842,-6.8965759,0.059991506,0.059951028,0.067517672,0.587562 µm.
3.4651314,-6.9166842,-6.8965759,0.059991506,0.059951028,0.067517672,0.587562 µm.
3.6301377,-6.9185442,-6.8964621,0.062859896,0.062813319,0.074150764,0.587562 µm.
3.6301377,-6.9185442,-6.8964621,0.062859896,0.062813319,0.074150764,0.587562 µm.
3.7951439,-6.9204934,-6.8963432,0.065729922,0.065676657,0.081101937,0.587562 µm.
3.7951439,-6.9204934,-6.8963432,0.065729922,0.065676657,0.081101937,0.587562 µm.
3.9601502,-6.9225321,-6.8962192,0.068601659,0.068541088,0.088372524,0.587562 µm.
3.9601502,-6.9225321,-6.8962192,0.068601659,0.068541088,0.088372524,0.587562 µm.
4.1251564,-6.9246608,-6.8960900,0.071475186,0.071406662,0.095963925,0.587562 µm.
4.1251564,-6.9246608,-6.8960900,0.071475186,0.071406662,0.095963925,0.587562 µm.
4.2901627,-6.9268798,-6.8959557,0.074350579,0.074273426,0.10387760,0.587562 µm.
4.2901627,-6.9268798,-6.8959557,0.074350579,0.074273426,0.10387760,0.587562 µm.
4.4551689,-6.9291897,-6.8958163,0.077227916,0.077141429,0.11211510,0.587562 µm.
4.4551689,-6.9291897,-6.8958163,0.077227916,0.077141429,0.11211510,0.587562 µm.
4.6201752,-6.9315908,-6.8956719,0.080107275,0.080010720,0.12067800,0.587562 µm.
4.6201752,-6.9315908,-6.8956719,0.080107275,0.080010720,0.12067800,0.587562 µm.
4.7851815,-6.9340837,-6.8955224,0.082988734,0.082881346,0.12956799,0.587562 µm.
4.7851815,-6.9340837,-6.8955224,0.082988734,0.082881346,0.12956799,0.587562 µm.
4.9501877,-6.9366689,-6.8953679,0.085872372,0.085753357,0.13878681,0.587562 µm.
4.9501877,-6.9366689,-6.8953679,0.085872372,0.085753357,0.13878681,0.587562 µm.
5.1151940,-6.9393469,-6.8952084,0.088758267,0.088626802,0.14833627,0.587562 µm.
5.1151940,-6.9393469,-6.8952084,0.088758267,0.088626802,0.14833627,0.587562 µm.
5.2802002,-6.9421182,-6.8950439,0.091646500,0.091501728,0.15821826,0.587562 µm.
5.2802002,-6.9421182,-6.8950439,0.091646500,0.091501728,0.15821826,0.587562 µm.
5.4452065,-6.9449835,-6.8948745,0.094537150,0.094378184,0.16843474,0.587562 µm.
5.4452065,-6.9449835,-6.8948745,0.094537150,0.094378184,0.16843474,0.587562 µm.
5.6102127,-6.9479435,-6.8947002,0.097430298,0.097256221,0.17898775,0.587562 µm.
5.6102127,-6.9479435,-6.8947002,0.097430298,0.097256221,0.17898775,0.587562 µm.
5.7752190,-6.9509986,-6.8945211,0.10032602,0.10013589,0.18987940,0.587562 µm.
5.7752190,-6.9509986,-6.8945211,0.10032602,0.10013589,0.18987940,0.587562 µm.
5.9402253,-6.9541496,-6.8943371,0.10322441,0.10301723,0.20111189,0.587562 µm.
