Basis,program,"image size (1/2 diag, mm)",f/#,efl (mm),notes
JP2020-173366_Example03P,zemax,21.6,1.8,85,Nikon Nikkor Z 85mm f/1.8 S
JP2020-190696_Example01MLP,zemax,21.64,4,17,Canon EF17-40mm f4L USM
JP2020-190696_Example03MLP,zemax,21.6,2.8,24,Canon EF24mm f2.8 IS USM
JP2021-047297_Example01P,zemax,21.6,2.8,100,Canon RF100mm F2.8 L Macro IS USM
JP2021-085935 Example01P,zemax,21.63,1.4,85,Sigma 85mm F1.4 DG DN A
JP2021-189311_Example08P,zemax,21.7,,afocal,Nikon Nikkor Z TC-2.0x (front adapter)
JP2021-189351 Example04P,zemax,21.63,2,40,Nikon Nikkor Z 40mm f/2
JP2021-189377_Example01P,zemax,21.7,4,24,Nikon Nikkor Z 24-50mm f/4-6.3
JP2022-030896 Example01P,zemax,19.92,2.8,24,Sony FE 24mm F2.8 G
KR1020140184971_Example01P,zemax,21.6,1.4,50,Samyang 50mm F1.4 AS UMC
KR1020150147546_Example01P,zemax,21.7,1.4,50,Samyang AF 50mm F1.4 FE
KR1020150155317_Example01P,zemax,21,2,135,Samyang 135mm F2.0 ED UMC
KR1020150182611_Example01P,zemax,21.6,2.8,100,Samyang 100mm F2.8 ED UMC Macro
KR1020170053557_Example01P,zemax,21.7,2.8,14,Samyang AF 14mm F2.8 FE/RF
KR1020180065114_Example04P,zemax,21.6,2.8,35,Samyang AF 35mm F2.8 FE
KR1020180084767_Example03P,zemax,21.6,1.2,35,Samyang XP 35mm F1.2
KR1020200129711_Example02P,zemax,21.6,1.4,85,Samyang AF 85mm F1.4 EF
Note01Fig1,zemax,21,4,21,NIKKOR-O 2.1cm F4
Note01Fig3,zemax,21,3.8,65,
Note02Fig1,zemax,21,2,50,AI Nikkor 50mm F2
Note02Fig2,zemax,21,4,50,
Note03Fig1,zemax,21,1.8,35,W-Nikkor 3.5cm F1.8
Note05Fig1,zemax,21,,,
Note05Fig2,zemax,21,2.5,105,AI Nikkor 105mm F2.5
Note06Fig1,zemax,21,6,10,OP Fisheye-NIKKOR 10mm F5.6
Note07Fig1,zemax,21,,,NIKKOR-N 5cm F1.1
Note10Fig1,zemax,21,2.8,,AI Nikkor ED 180mm F2.8S
Note11-Fig1,zemax,21,2.8,300,NIKKOR-H 300mm F2.8
Note12Fig1,zemax,21,3.5,38,NIKKOR-H Auto 2.8cm F3.5
Note14-Fig1,zemax,21,2.8,24,NIKKOR-N Auto 24mm F2.8
Note16-Fig1,zemax,21,1.3,58,AI Noct Nikkor 58mm F1.2
Note16-Fig1b,zemax,21,1.5,55,
Note17-Fig1,zemax,21,4,28,PC-NIKKOR 28mm f/4
Note19-Fig1,zemax,21,1.5,85,Nikkor-S·C 8.5cm F1.5
Note20-Fig1,zemax,21,3.7,20,Nikkor-UD Auto 20mm f/3.5
Note21-Fig1,zemax,21,4,105,Nikkor-T 10.5cm f/4
Note23-Fig1,zemax,21,2.8,80,AF Nikkor 80mm f/2.8
Note24-Fig2,zemax,21,,0,Nikon FC-E8 fisheye converter for Coolpix
Note24-Fig3,zemax,21,,0,Nikon WC-E63 0.63X front adapter forCoolpix
Note24-Fig4,zemax,21,,0,Nikon TC-E2 (2X front converter)
Note26-Fig1,zemax,21,2.8,55,Ai Micro Nikkor 55mm f/2.8
Note27-Fig1,zemax,21,1.45,35,Ai Nikkor 35mm F1.4S
Note28-Fig1,zemax,,,,
Note30-Fig1,zemax,21,3,135,Ai Nikkor 135mm F2
Note31-Fig1,zemax,21,2,200,Ai Nikkor ED 200mm F2S (IF)
Note32-Fig1,zemax,21,1.85,85,Ai AF Nikkor 85mm f/1.8S
Note32-Fig2,zemax,21,2,135,Ai AF DC Nikkor 135mm f/2S
Note33-Fig1,zemax,21,2.8,35,“Pikaichi” L35AF 35mm f/2.8
Note34-Fig1,zemax,21,2,50,NIKKOR-H·C 5cm F2
Note36-Fig1,zemax,21,2,85,Nikkor P·C 8.5cm F2
Note37-Fig1,zemax,21,2.5,35,W-Nikkor 3.5cm F2.5
Note38-Fig1,zemax,21,2.8,35,Nikkor 35mm f/2.8
Note38-Fig2,zemax,21,2.8,35,Nikkor-S Auto 35mm f/2.8
Note38-Fig3,zemax,21,2.8,35,Nikkor 35mm f/2.8
Note40-Fig1,zemax,21,2,58,Nikkor-S Auto 5.8cm F1.4
Note41-Fig1,zemax,21,1.4,85,AF Nikkor 85mm f/1.4D IF
Note43-Fig1,zemax,21,4,135,NIKKOR-Q.C 13.5cm f/4
Note44-Fig1,zemax,21,1.4,50,Nikkor-S Auto 50mm f/1.4
Note45-Fig1,zemax,21,2.5,105,NIKKOR-P.C 10.5cm f/2.5
Note48-Fig1,zemax,21,,,Nikkor-Q Auto 200mm f/4
Note50-Fig1,zemax,21,5,400,NIKKOR-Q Auto 400mm F4.5
Note53-Fig1,zemax,21,3.5,15,AF Fisheye-Nikkor 1Ai 6mm f/2.8D
Note57-Fig1,zemax,21,2.85,28,AI Nikkor 28mm f/2.8S
Note59-Fig1,zemax,21,1.85,105,AI Nikkor 105mm f/1.8S
Note60-Fig1,zemax,21,1.8,50,AI NIKKOR 50mm f/1.8S
Samy&Gao-1(220deg),zemax,2.85,4,4.5,fisheye: +-110 deg FOV
Samy&Gao-2(220deg),zemax,2.85,3.8,1.5,fisheye: +-110 deg FOV
US00252682-1,zemax,11.13,3.1,25,"Double-gauss variant, Cox example 3-13"
US002645973 Example01P,zemax,21.6,1.5,85,Canon Serenar 85mm f1.5
US002645974 Example01P,zemax,21.6,3.5,28,Canon Serenar 28mm f3.5
US002645975 Example01P,zemax,21.6,3.2,35,Canon Serenar 35mm f3.2
US002681594 Example01P,zemax,21.6,1.8,50,Canon Serenar 50mm f1.8 soft focus
US002720140 Example03P,zemax,39.5,4,150,Zeiss Sonnar T f4 150mm
US002721499_Example02_Tale01,zemax,21.6,4.5,21,Zeiss Biogon 2.1cm f/4.5
US002724994 Example02P,zemax,21.6,2.8,80,Zeiss Planar 2.8/80
US002779239 Example01P,zemax,21.6,2.8,28,Canon 28mm f2.8
US002838978 Example01P,zemax,21.6,2.8,50,Canon 50mm f2.8
US002854890 Example01P,zemax,21.6,1.8,35,Canon 35mm f1.8
US002896506_Example01_Tale03,zemax,21.6,1.8,35,Nikon W-Nikkor 3.5cm f/1.8
US002995980 Example01P,zemax,21.6,2.8,90,Leica Elmarit 90mm F2.8
US003037426 Example01P,zemax,7.4,5.7,5.7,Kinoptik Tegea 5.7mm f/1.8
US003038380 Example01P,zemax,21.63,,35,Zeiss Distagon 4/35
US003108152 Example02P,zemax,21.6,2.8,135,Leica Elmarit-M 135mm F2.8
US003376091 Example01P,zemax,78,5.6,75,Schneider Super-Angulon 5.6 / 75
US003410632 Example02P,zemax,27.5,4,35,Leica PA-Curtagon-R 35mm F4
US003459468_Example01P,zemax,21.6,1.2,50,Leica 50mm Noctilux f/1.2
US003467462 Example01P,zemax,44.8,4,300,Ricoh SMCT Pentax 6x7 300mm f4
US003490825_Example01P,zemax,21.6,4.5,85,Ricoh Pentax Ultra-Achromatic-Takumar 85mm F4.5
US003502393_Example01P,zemax,44.8,4,600,Ricoh SMC Pentax 6x7 600mm f4
US003502394 Example01P,zemax,21.6,4,300,Ricoh Pentax Super-Takumar 300mm f4
US003506336 Example01P,zemax,21.6,2,35,Ricoh Pentax Super-Takumar 35mm f2
US003506339 Example01P,zemax,21.6,3.5,28,Ricoh Pentax Super-Takumar 28mm f3.5
US003507558 Example01P,zemax,21.6,2,35,Nikon AI Nikkor 35mm f/2
US003515462_Example01P,zemax,21.6,4,17,Ricoh smc Pentax 17mm F4 Fish-Eye
US003524697_Example01_Tale06,zemax,10.8,5.6,10,Nikon OP Fisheye-Nikkor 10mm F5.6
